idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
10,ok,0.00758836,0.0340792,3.62727,0.0395183,0.0966373,0.270021,0.389013,0.0164963,-0.0135167,0.0978122,-0.00855793,0.0756938,1.2597,25.5,queda,1,53,6,29,0.0286321,-0.05474,-1.91184,1,0.5,0.123194,0.454641,0.375132,0.16165,-0.261072,-0.433216,-0.35499,-0.37509
11,ok,0.0632844,0.0134222,6.6257,0.0513468,0.109896,0.231964,0.427606,0.0163926,0.0257092,0.175276,0.00644034,-0.0518138,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.355765,0.297874,0.44595,0.328441,-0.163843,-0.185661,-0.440873,-0.191003
12,ok,0.081606,0.0125732,7.8638,0.0562329,0.124911,0.255983,0.35298,0.0201126,0.0369759,0.306846,0.0100392,-0.0579006,1.2577,22,queda,1,47,10,30,0.0779861,-0.00763429,-0.0978929,1,0.5,0.403995,0.434852,0.45412,0.378164,-0.158576,-0.312023,-0.17664,-0.301477
13,ok,0.016261,0.0242331,3.7343,0.0403105,0.0915422,0.186262,0.310474,0.00699773,-0.0127933,0.281795,0.00852182,-0.0812322,1.8832,19.5,queda,1,56,4,30,0.119895,-0.03118,-0.260062,1,0.5,0.180338,0.259316,0.142926,0.232684,-0.22015,-0.369274,-0.200316,0.00887464
14,ok,0.0229109,0.017693,5.00076,0.0410782,0.0981284,0.249919,0.377558,0.0205616,0.0239565,0.498037,0.00503347,-0.013706,0.8088,12.5,falha_conv,0,61,23,12.5,0.0232393,0.0676743,2.91206,3,0.125,0.21406,0.446118,0.44271,0.324468,-0.188112,-0.388303,-0.130337,-0.376854
15,ok,0.0105409,0.0370974,2.90366,0.0418584,0.0938928,0.199379,0.36428,0.0181091,-0.0344888,0.325101,-0.00255216,0.000794427,1.5179,21,queda,1,52,1,26,0.0970527,-0.1915,-1.97315,1,0.5,0.145196,0.177917,0.152807,0.336186,-0.272387,-0.416981,-0.319688,-0.284903
16,ok,0.0194329,0.0161767,4.40913,0.0377712,0.0846723,0.184043,0.368063,0.0116758,0.0187251,0.334331,0.00524298,-0.0412215,1.7261,20.5,queda,1,58,3,30,0.096897,-0.0359371,-0.37088,1,0.5,0.197144,0.367071,0.251295,0.245881,-0.179871,-0.162036,-0.265141,-0.134334
17,ok,0.0662925,0.0687194,6.39288,0.0717206,0.145877,0.216383,0.278269,0.0136501,-0.00703354,0.601394,-0.00271472,0.0125896,1.8662,21.5,queda,1,56,1,28,0.105705,-0.3657,-3.45961,1,0.5,0.364122,0.209558,0.283224,0.218917,-0.370727,-0.172088,-0.412962,-0.217626
18,descartado_t_max,0.0388116,0.011488,5.00139,0.042235,0.0879991,0.151868,0.366171,0.0112033,0.0161703,0.152044,0.00364416,-0.034389,,,,,,,,,,,,,,,,,,,,
19,ok,0.0251352,0.0435702,4.24514,0.0513397,0.109741,0.205875,0.351104,0.00744571,-0.0121578,0.206107,0.0108501,-0.0969896,1.965,22.5,queda,1,61,0,30,0.116823,-0.06292,-0.538592,1,0.5,0.224211,0.20294,0.340405,0.240057,-0.295195,-0.286727,-0.357012,0.0324656
