idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
89,ok,0.0229528,0.0202843,3.88137,0.041161,0.0881078,0.143994,0.255689,0.00913876,-0.0078388,0.356738,-0.000923676,0.00568562,1.9773,19.25,queda,1,324,5,30,0.11799,-0.01168,-0.0989913,3,0.125,0.214256,0.16084,0.0929596,0.152279,-0.201417,-0.260467,-0.0908654,-0.165902
90,ok,0.00895708,0.00824488,2.82672,0.0265523,0.0617976,0.153312,0.373754,0.00400037,0.0178842,0.789107,0.0167169,-0.144456,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.133844,0.198407,0.247871,0.247509,-0.128412,-0.263932,-0.237825,0.146936
91,ok,0.0113518,0.0191775,3.04676,0.0341819,0.0723873,0.124865,0.317765,0.00751709,-0.0029477,0.041906,0.000186552,-0.00621092,1.9012,19,queda,1,60,1,30,0.115175,0.02088,0.18129,1,0.5,0.150677,0.195498,0.136895,0.139641,-0.195844,-0.108521,-0.21119,-0.103793
92,ok,0.0200019,0.0283375,4.18873,0.0432316,0.0915927,0.151442,0.278269,0.0044135,0.0279011,0.59947,0.0201681,-0.161154,2.2089,20,queda,1,57,3,30,0.118873,-0.07868,-0.661885,1,0.5,0.20001,0.296572,0.219851,0.270516,-0.238065,-0.0950424,-0.138219,0.14259
93,ok,0.00565564,0.00800335,2.22439,0.0234078,0.0531572,0.122705,0.369958,0.00316547,0.00925764,0.849364,0.00925759,-0.0913131,1.5665,12.5,queda,1,39,0,19,0.120355,-0.18752,-1.55806,1,0.5,0.106354,0.155412,0.139176,0.181553,-0.126518,-0.197274,-0.257423,0.10308
94,ok,0.011538,0.0280119,3.23546,0.0387565,0.0855287,0.181038,0.387099,0.0155917,-0.00959896,0.132839,0.0023843,-0.0226218,1.7132,20.5,queda,1,54,6,30,0.0835429,0.00238286,0.0285226,1,0.5,0.151908,0.234574,0.251135,0.295827,-0.236694,-0.250622,-0.268658,-0.228436
95,ok,0.00812334,0.00967938,2.66243,0.0267409,0.0600249,0.121606,0.334331,0.0110132,-0.00339123,0.853553,-0.00338988,0.0340356,1.6192,16.5,queda,1,45,4,25,0.109793,-0.01222,-0.1113,1,0.5,0.127462,0.186899,0.143805,0.136874,-0.139136,-0.199518,-0.0857864,-0.246176
96,ok,0.0180353,0.00719593,3.88051,0.0306047,0.0653232,0.127823,0.371855,0.0022647,0.0230619,0.288889,0.00716577,-0.0595726,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.189923,0.253824,0.230544,0.102245,-0.119966,-0.0286621,-0.27114,0.0665744
97,ok,0.0284376,0.0320498,4.73066,0.048517,0.102514,0.159312,0.23541,0.00711934,0.0117929,0.373754,0.00493372,-0.0402926,2.0357,18,queda,1,59,2,30,0.120355,-0.01618,-0.134436,1,0.5,0.238485,0.292535,0.0890029,0.176971,-0.253179,-0.147991,-0.104819,-0.0658357
98,ok,0.0118757,0.00258283,2.92821,0.0223021,0.0475225,0.103013,0.454901,0.00886532,0.012187,0.154874,-0.00814929,0.0601516,1.2481,13.5,falha_conv,0,147,8,13.5,0.104149,0.05735,0.550651,3,0.125,0.154115,0.149054,0.130518,0.0802787,-0.0718725,-0.0509258,-0.269416,-0.208273
99,ok,0.00912537,0.030907,2.58746,0.0380656,0.0822904,0.150066,0.312292,0.00410005,-0.0184642,0.170819,0.0114307,-0.087315,1.9236,17,queda,1,59,1,30,0.121457,0.02836,0.233498,1,0.5,0.135095,0.125323,0.284103,0.154056,-0.248624,-0.284864,-0.115995,0.0416584
