perfil,x,y
partida,0.97528374,0.00648937
partida,0.97767548,0.00587631
partida,0.97994816,0.00529088
partida,0.98210123,0.00473365
partida,0.98413415,0.00420516
partida,0.98604642,0.00370593
partida,0.98783755,0.00323646
partida,0.98950710,0.00279723
partida,0.99105466,0.00238868
partida,0.99247984,0.00201122
partida,0.99378228,0.00166525
partida,0.99496166,0.00135112
partida,0.99601768,0.00106916
partida,0.99695009,0.00081966
partida,0.99775864,0.00060290
partida,0.99844315,0.00041909
partida,0.99900343,0.00026843
partida,0.99943935,0.00015109
partida,0.99975079,0.00006718
partida,0.99993769,0.00001680
partida,1.00000000,0.00000000
otimizado,1.00000000,-0.00000000
otimizado,0.99990362,-0.00000482
otimizado,0.99961452,-0.00001931
otimizado,0.99913281,-0.00004353
otimizado,0.99845867,-0.00007759
otimizado,0.99759236,-0.00012167
otimizado,0.99653423,-0.00017596
otimizado,0.99528467,-0.00024073
otimizado,0.99384417,-0.00031627
otimizado,0.99221328,-0.00040294
otimizado,0.99039264,-0.00050115
otimizado,0.98838294,-0.00061134
otimizado,0.98618496,-0.00073404
otimizado,0.98379955,-0.00086979
otimizado,0.98122762,-0.00101921
otimizado,0.97847017,-0.00118298
otimizado,0.97552826,-0.00136182
otimizado,0.97240302,-0.00155651
otimizado,0.96909567,-0.00176789
otimizado,0.96560747,-0.00199686
otimizado,0.96193977,-0.00224437
otimizado,0.95809398,-0.00251142
otimizado,0.95407159,-0.00279907
otimizado,0.94987414,-0.00310843
otimizado,0.94550326,-0.00344067
otimizado,0.94096063,-0.00379699
otimizado,0.93624800,-0.00417864
otimizado,0.93136719,-0.00458691
otimizado,0.92632008,-0.00502314
otimizado,0.92110862,-0.00548868
otimizado,0.91573481,-0.00598491
otimizado,0.91020072,-0.00651323
otimizado,0.90450850,-0.00707507
otimizado,0.89866033,-0.00767183
otimizado,0.89265847,-0.00830494
otimizado,0.88650523,-0.00897580
otimizado,0.88020298,-0.00968580
otimizado,0.87375416,-0.01043628
otimizado,0.86716125,-0.01122856
otimizado,0.86042680,-0.01206390
otimizado,0.85355339,-0.01294351
otimizado,0.84654368,-0.01386852
otimizado,0.83940037,-0.01483997
otimizado,0.83212622,-0.01585882
otimizado,0.82472402,-0.01692591
otimizado,0.81719664,-0.01804197
otimizado,0.80954697,-0.01920760
otimizado,0.80177797,-0.02042326
otimizado,0.79389263,-0.02168927
otimizado,0.78589398,-0.02300576
otimizado,0.77778512,-0.02437271
otimizado,0.76956916,-0.02578992
otimizado,0.76124928,-0.02725700
otimizado,0.75282869,-0.02877333
otimizado,0.74431062,-0.03033814
otimizado,0.73569837,-0.03195039
otimizado,0.72699525,-0.03360885
otimizado,0.71820462,-0.03531207
otimizado,0.70932987,-0.03705835
otimizado,0.70037442,-0.03884578
otimizado,0.69134172,-0.04067220
otimizado,0.68223525,-0.04253523
otimizado,0.67305853,-0.04443226
otimizado,0.66381509,-0.04636043
otimizado,0.65450850,-0.04831668
otimizado,0.64514234,-0.05029772
otimizado,0.63572022,-0.05230003
otimizado,0.62624579,-0.05431991
otimizado,0.61672268,-0.05635344
otimizado,0.60715458,-0.05839651
otimizado,0.59754516,-0.06044487
otimizado,0.58789814,-0.06249407
otimizado,0.57821723,-0.06453952
otimizado,0.56850617,-0.06657651
otimizado,0.55876870,-0.06860020
otimizado,0.54900857,-0.07060567
otimizado,0.53922955,-0.07258790
otimizado,0.52943540,-0.07454182
otimizado,0.51962991,-0.07646232
otimizado,0.50981685,-0.07834426
otimizado,0.50000000,-0.08018253
otimizado,0.49018315,-0.08197202
otimizado,0.48037009,-0.08370767
otimizado,0.47056460,-0.08538450
otimizado,0.46077045,-0.08699760
otimizado,0.45099143,-0.08854221
otimizado,0.44123130,-0.09001368
otimizado,0.43149383,-0.09140752
otimizado,0.42178277,-0.09271942
otimizado,0.41210186,-0.09394529
otimizado,0.40245484,-0.09508124
otimizado,0.39284542,-0.09612362
otimizado,0.38327732,-0.09706905
otimizado,0.37375421,-0.09791441
otimizado,0.36427978,-0.09865689
otimizado,0.35485766,-0.09929398
otimizado,0.34549150,-0.09982347
otimizado,0.33618491,-0.10024350
otimizado,0.32694147,-0.10055254
otimizado,0.31776475,-0.10074942
